序号,文件命名,歌手,歌曲名,错误答案1,错误答案2,错误答案3,曲风,语种,年龄层,所属专场,难意程度,是否高潮,QQ音乐版权（0/1）
900,杨胖雨 - 情深深雨濛濛.2.mp3,杨胖雨,情深深雨濛濛,吆不到台,孽海记,慢慢喜欢你,流行热,中文,00后90后,单人闯关,P0,是,
901,BY2 - 爱丫爱丫.2.mp3,BY2,爱丫爱丫,问落花,新不了情,夏天多好,流行热,中文,00后90后,单人闯关,P0,是,
902,G2er - 还有我.2.mp3,G2er,还有我,窃爱,小情歌,櫻吹雪,流行热,中文,00后90后,单人闯关,P0,是,
903,胡歌 - 美丽的梭罗河.3.mp3,胡歌,美丽的梭罗河,手语,没有什么不同,牧马城市,流行热,中文,00后90后,单人闯关,P0,是,
904,曲肖冰 - 太阳.2.mp3,曲肖冰,太阳,困兽之斗,你就不要想起我,拜拜,流行热,中文,00后90后,单人闯关,P0,是,
905,飞儿乐团 - Lydia.2.mp3,飞儿乐团,Lydia,Keep Up,Bon Appétit,Somebody,流行热,英文,00后90后,单人闯关,P0,是,
906,杨千嬅 - 少女的祈祷.2.mp3,杨千嬅,少女的祈祷,百鬼阴阳抄,成都,她的睫毛,流行热,中文,00后90后,单人闯关,P0,是,
907,音阙诗听 _ 锦零 - 空山新雨后.2.mp3,锦零,空山新雨后,不分手的恋爱,再见 你好,我的秘密,流行热,中文,00后90后,单人闯关,P0,是,
908,冷火 - 如果，可以.2.mp3,冷火,如果 可以,BAD GUY,你好,爱的期限,流行热,中文,00后90后,单人闯关,P0,是,
909,陈雪凝 - 绿色.2.mp3,陈雪凝,绿色,那个男人,老男孩,背过手,流行热,中文,00后90后,单人闯关,P0,是,
910,林隆璇 _ 李圣杰 - 你那么爱她.2.mp3,林隆璇,你那么爱她,济南济南,老古董,爱情惹的祸,流行热,中文,00后90后,单人闯关,P0,是,
911,叶筱萱 _ 亚喃 - 不爱我就别伤害我.2.mp3,亚喃,不爱我就别伤害我,生而为赢,七号公园,北方,流行热,中文,00后90后,单人闯关,P0,是,
912,葛东琪 - 悬溺.3.mp3,葛东琪,悬溺,年少有为,细说往事,多年以后,流行热,中文,00后90后,单人闯关,P0,是,
913,阿悠悠 - 念旧.2.mp3,阿悠悠,念旧,那一夜,半城烟沙,济南济南,流行热,中文,00后90后,单人闯关,P0,是,
914,虎二 - 你一定要幸福.2.mp3,虎二,你一定要幸福,当我寂寞的时候,湖光,云水谣,流行热,中文,00后90后,单人闯关,P0,是,
915,易烊千玺 - 念想.2.mp3,易烊千玺,念想,免费教学录影带,天亮就飞吧,悄悄,流行热,中文,00后90后,单人闯关,P0,是,
916,英雄联盟 _ 田小娟 - GIANTS.2.mp3,田小娟,GIANTS,Coming Down,Bloodstream,Wide Awake,流行热,英文,00后90后,单人闯关,P0,是,
917,Imagine Dragons - Natural.2.mp3,Imagine Dragons,Natural,Good Mourning,Aloha Heia He,Sick Boy,流行热,英文,00后90后,单人闯关,P0,是,
918,凤凰传奇 - 奢香夫人.2.mp3,凤凰传奇,奢香夫人,星晴,琵琶语,灿烂,流行热,中文,00后90后,单人闯关,P0,是,
919,周杰伦 - 给我一首歌的时间.2.mp3,周杰伦,给我一首歌的时间,平凡之路,独白心声,小女王,流行热,中文,00后90后,单人闯关,P0,是,
920,Ava Max - Sweet but Psycho.2.mp3,Ava Max,Sweet but Psycho,Ghost,Castle,Shivers,流行热,英文,00后90后,单人闯关,P0,是,
921,肖战 _ 宋祖儿 - 最好的夏天.2.mp3,肖战,最好的夏天,英雄,故乡,亲爱的你,流行热,中文,00后90后,单人闯关,P0,是,
922,王小帅 - 最近.2.mp3,王小帅,最近,面筋歌,艺术家们,北京的冬天,流行热,中文,00后90后,单人闯关,P0,是,
923,梅艳芳 - 一生爱你千百回.2.mp3,梅艳芳,一生爱你千百回,陌生兄弟,安徒生不后悔,愚者的信仰,流行热,中文,00后90后,单人闯关,P0,是,
924,音阙诗听 - 红昭愿.3.mp3,音阙诗听,红昭愿,愿为同命鸟,来自尘埃的光,什么歌,流行热,中文,00后90后,单人闯关,P0,是,
925,周杰伦 - 告白气球.2.mp3,周杰伦,告白气球,小幸运,方圆几里,离开,流行热,中文,00后90后,单人闯关,P0,是,
926,齐秦 - 大约在冬季 (群星版).2.mp3,群星,大约在冬季,采薇,我可以提前离开,123我爱你,流行热,中文,00后90后,单人闯关,P0,是,
927,陈泫孝（大泫） - 静悄悄.2.mp3,陈泫孝,静悄悄,十点半的地铁,意外,爱我的人谢谢你,流行热,中文,00后90后,单人闯关,P0,是,
928,林俊杰 - 修炼爱情.2.mp3,林俊杰,修炼爱情,泼墨漓江,有一种悲伤,错的人,流行热,中文,00后90后,单人闯关,P0,是,
929,夏婉安 - 卑微到最后有多痛.2.mp3,夏婉安,卑微到最后有多痛,后来的我们,伪装,黑煤,流行热,中文,00后90后,单人闯关,P0,是,
930,薛之谦 - 慢半拍.2.mp3,薛之谦,慢半拍,放开手别挽留,咿呀呀,胆小鬼,流行热,中文,00后90后,单人闯关,P0,是,
931,李荣浩 - 李白.2.mp3,李荣浩,李白,不爱我就拉倒,你笑起来真好看,胆小鬼,流行热,中文,00后90后,单人闯关,P0,是,
932,G.E.M. 邓紫棋 - Walk on Water.2.mp3,G.E.M. 邓紫棋,Walk on Water,Lost In Japan,It Takes Two,Long Live,流行热,英文,00后90后,单人闯关,P0,是,
933,半阳 - 一曲相思.2.mp3,半阳,一曲相思,此生不换,那些年,深蓝海,流行热,中文,00后90后,单人闯关,P0,是,
934,光泽 - 空心.2.mp3,光泽,空心,错过,重复重复,南方小镇,流行热,中文,00后90后,单人闯关,P0,是,
935,逃跑计划 - 夜空中最亮的星.2.mp3,逃跑计划,夜空中最亮的星,恋爱达人,简单爱,学不会,流行热,中文,00后90后,单人闯关,P0,是,
936,杨千嬅 - 可惜我是水瓶座.2.mp3,杨千嬅,可惜我是水瓶座,不爱了也是一种爱,我们爱过就好,叹云兮,流行热,中文,00后90后,单人闯关,P0,是,
937,薛之谦 - 木偶人.2.mp3,薛之谦,木偶人,杨花落尽子规啼,阴天,有点甜,流行热,中文,00后90后,单人闯关,P0,是,
938,周杰伦 - 说好的幸福呢.2.mp3,周杰伦,说好的幸福呢,归辞,你若成风,红玫瑰白玫瑰,流行热,中文,00后90后,单人闯关,P0,是,
939,南征北战NZBZ - 哈尼宝贝.2.mp3,南征北战NZBZ,哈尼宝贝,您的手机来电铃声,园游会,突然想起你,流行热,中文,00后90后,单人闯关,P0,是,
940,Selena Gomez - Lose You To Love Me.2.mp3,Selena Gomez,Lose You Love Me,Angel On Fire,Damage,The Middle,流行热,英文,00后90后,单人闯关,P0,是,
941,Linkin Park - In The End.2.mp3,Linkin Park,In The End,Bloom,Strange Love,Red,流行热,英文,00后90后,单人闯关,P0,是,
942,戴佩妮 - 怎样.2.mp3,戴佩妮,怎样,阳光宅男,灰色头像,宇宙小柔软,流行热,中文,00后90后,单人闯关,P0,是,
943,牛奶咖啡 - 越长大越孤单.2.mp3,牛奶咖啡,越长大越孤单,妄想的月光,安静坐好,再给我一点时间啊,流行热,中文,00后90后,单人闯关,P0,是,
944,Alan Walker _ Iselin Solheim - Faded.2.mp3,Alan Walker,Faded,Wolves,Take me Hand,Psycho,流行热,英文,00后90后,单人闯关,P0,是,
945,Ayo97 _ 周思涵 - 感谢你曾来过.2.mp3,周思涵,感谢你曾来过,杀马特遇见洗剪吹,张三的歌,再见,流行热,中文,00后90后,单人闯关,P0,是,
946,陈柯宇 - 生僻字.2.mp3,陈柯宇,生僻字,你打不过我吧,让我给你买包烟,青空之下,流行热,中文,00后90后,单人闯关,P0,是,
947,周杰伦 - 彩虹.2.mp3,周杰伦,彩虹,与君知,童话,兰亭序,流行热,中文,00后90后,单人闯关,P0,是,
948,周杰伦 - 一路向北.2.mp3,周杰伦,一路向北,赤伶,你,英雄,流行热,中文,00后90后,单人闯关,P0,是,
949,李圣杰 - 手放开.2.mp3,李圣杰,手放开,一个人去巴黎,滴答,高天流云,流行热,中文,00后90后,单人闯关,P0,是,
950,孙燕姿 - 遇见.2.mp3,孙燕姿,遇见,再见 你好,侧脸,绿色,流行热,中文,00后90后,单人闯关,P0,是,
951,Jain - Lil Mama.2.mp3,Jain,Lil Mama,Now Or Never,Baby,Tiger Dreams,流行热,英文,00后90后,单人闯关,P0,是,
952,周杰伦 - 说好不哭.2.mp3,周杰伦,说好不哭,轨迹,有桃花,风的季节,流行热,中文,00后90后,单人闯关,P0,是,
953,周思涵 - 备爱.2.mp3,周思涵,备爱,雪诉离歌,你以为,春娇与志明,流行热,中文,00后90后,单人闯关,P0,是,
954,李昕融 _ 樊桐舟 _ 李凯稠 - 宝贝宝贝.2.mp3,樊桐舟,宝贝宝贝,感官先生,最好,原谅,流行热,中文,00后90后,单人闯关,P0,是,
955,刘德华 - 17岁.2.mp3,刘德华,17岁,17岁的单车,简单爱,爰很美,流行热,中文,00后90后,单人闯关,P0,是,
956,Tones and I - Dance Monkey.2.mp3,Tones and I,Dance Monkey,Endless Love,COOL,Grenade,流行热,英文,00后90后,单人闯关,P0,是,
957,飞儿乐团 - 月牙湾.2.mp3,飞儿乐团,月牙湾,魑魅魍魉,你若成风,爱情错觉,流行热,中文,00后90后,单人闯关,P0,是,
958,容祖儿 - 小小.2.mp3,容祖儿,小小,我不配,自导自演,夏天,流行热,中文,00后90后,单人闯关,P0,是,
959,刘若英 - 后来.2.mp3,刘若英,后来,起风了,有一种悲伤,短歌行,流行热,中文,00后90后,单人闯关,P0,是,
960,二小姐 - 酒梦.2.mp3,二小姐,酒梦,第一次告白,吻别,发小,流行热,中文,00后90后,单人闯关,P0,是,
961,周杰伦 - 简单爱.2.mp3,周杰伦,简单爱,烟花易冷,最帅的逆行,你,流行热,中文,00后90后,单人闯关,P0,是,
962,张泽华 - 心怡.2.mp3,张泽华,心怡,伤感情歌,北京的冬天,I Miss You,流行热,中文,00后90后,单人闯关,P0,是,
963,radwimps - 大丈夫.2.mp3,radwimps,大丈夫,啷个哩个啷,一个人生活,你还要我怎样,流行热,中文,00后90后,单人闯关,P0,是,
964,楚洁 - 飞越.2.mp3,楚洁,飞越,明明就,她不是,晴天,流行热,中文,00后90后,单人闯关,P0,是,
965,爱吃巧乐兹 - 圈住你.2.mp3,爱吃巧乐兹,圈住你,红模仿,会痛的石头,放风筝,流行热,中文,00后90后,单人闯关,P0,是,
966,五月天 - 知足.2.mp3,五月天,知足,个人简介,海阔天空,与光,流行热,中文,00后90后,单人闯关,P0,是,
967,许巍 - 曾经的你.2.mp3,许巍,曾经的你,无条件爱你,一把破吉他,想你的时候,流行热,中文,00后90后,单人闯关,P0,是,
968,简弘亦 - 你一定要幸福.2.mp3,简弘亦,你一定要幸福,滨河东路,那又怎样,花的嫁纱,流行热,中文,00后90后,单人闯关,P0,是,
969,仇志 - 梦里不知身是客.2.mp3,仇志,梦里不知身是客,哪里都是你,美人鱼,完美主义,流行热,中文,00后90后,单人闯关,P0,是,
970,月尘 - 少年年少.2.mp3,月尘,少年年少,过客,素颜,感官先生,流行热,中文,00后90后,单人闯关,P0,是,
971,王俊凯 - 流星.2.mp3,王俊凯,流星,我落泪情绪零碎,云烟成雨,牛背上的孩子,流行热,中文,00后90后,单人闯关,P0,是,
972,小咪 - 即兴.2.mp3,小咪,即兴,烟影如画,爸，我回来了,让我们荡起双桨,流行热,中文,00后90后,单人闯关,P0,是,
973,梁静茹 - 慢冷.2.mp3,梁静茹,慢冷,蝴蝶知道她爱谁,隐形人,那些花儿,流行热,中文,00后90后,单人闯关,P0,是,
974,周笔畅 - 最美的期待.2.mp3,周笔畅,最美的期待,潮州人,北方的狼,爱不爱我,流行热,中文,00后90后,单人闯关,P0,是,
975,叶倩文 - 潇洒走一回.2.mp3,叶倩文,潇洒走一回,一点点,天份,余香,流行热,中文,00后90后,单人闯关,P0,是,
976,张泽熙 - 那个女孩.3.mp3,张泽熙,那个女孩,礼仪之邦,花开的声音,在森林等你,流行热,中文,00后90后,单人闯关,P0,是,
977,音阙诗听 _ 赵方婧 - 立冬.2.mp3,赵方婧,立冬,放飞梦想,We Own,爱情掉在哪里,流行热,中文,00后90后,单人闯关,P0,是,
978,宝石Gem - 野狼disco.2.mp3,宝石Gem,野狼disco,听见下雨的声音,花桥流水,北有京,流行热,中文,00后90后,单人闯关,P0,是,
979,梁汉文 - 七友.2.mp3,梁汉文,七友,梯田,无条件爱你,发如雪,流行热,中文,00后90后,单人闯关,P0,是,
980,周杰伦 - 枫.2.mp3,周杰伦,枫,黑色幽默,我爱他,第一次,流行热,中文,00后90后,单人闯关,P0,是,
981,李昕融 _ 樊桐舟 _ 李凯稠 - 你笑起来真好看.3.mp3,李昕融,你笑起来真好看,问命笺,听,心在天山,流行热,中文,00后90后,单人闯关,P0,是,
982,蒋雪儿 - 从前的我快乐过.2.mp3,蒋雪儿,从前的我快乐过,撕夜,我超喜欢你,习惯冷落,流行热,中文,00后90后,单人闯关,P0,是,
983,永彬Ryan.B - 像极了.2.mp3,永彬Ryan.B,像极了,老街,慢慢喜欢你,生活就是这样,流行热,中文,00后90后,单人闯关,P0,是,
984,王天戈 - 心安理得.2.mp3,王天戈,心安理得,秋风知月明,我们多么幸福,酒僧,流行热,中文,00后90后,单人闯关,P0,是,
985,广东雨神 - 广东爱情故事.3.mp3,广东雨神,广东爱情故事,星晴,四面楚歌,蓝莲花,流行热,中文,00后90后,单人闯关,P0,是,
986,朴树 - 生如夏花.2.mp3,朴树,生如夏花,浮夸,只想对你说,追光的你,流行热,中文,00后90后,单人闯关,P0,是,
987,李荣浩 - 年少有为.2.mp3,李荣浩,年少有为,多久,千古,归处,流行热,中文,00后90后,单人闯关,P0,是,
988,blackpink - kill this love.2.mp3,blackpink,kill this love,Lost Boy,La La La,Swimming Pools,流行热,英文,00后90后,单人闯关,P0,是,
989,G.E.M. 邓紫棋 - 倒数.2.mp3,G.E.M. 邓紫棋,倒数,湫兮如风,黎明前的黑暗,风筝,流行热,中文,00后90后,单人闯关,P0,是,
990,南风 - 才懂.2.mp3,南风,才懂,我们的爱,蝶知道她爱谁,也许像星星,流行热,中文,00后90后,单人闯关,P0,是,
991,程jiajia - 山楂树の恋.2.mp3,程jiajia,山楂树恋,东风志,半空中,潮州人,流行热,中文,00后90后,单人闯关,P0,是,
992,Ersen0306 - 攀登.2.mp3,Ersen0306,攀登,威廉古堡,天堂来信,触不到的恋人,流行热,中文,00后90后,单人闯关,P0,是,
993,麦小兜 - 情画.2.mp3,麦小兜,情画,谢芳菲,英雄,快乐的节日,流行热,中文,00后90后,单人闯关,P0,是,
994,陈慧娴 - 千千阙歌.2.mp3,陈慧娴,千千阙歌,盛唐夜唱,Hero,如果我们只剩一天,流行热,中文,00后90后,单人闯关,P0,是,
995,杨千嬅 - 小城大事.2.mp3,杨千嬅,小城大事,爱你没差,一半,心雨,流行热,中文,00后90后,单人闯关,P0,是,
996,王琪 - 站着等你三千年.3.mp3,王琪,站着等你三千年,命运,一次就好,我好冷,流行热,中文,00后90后,单人闯关,P0,是,
997,张宇佳 - 一抹阳光.2.mp3,张宇佳,一抹阳光,斗牛,止战之殇,如果当时,流行热,中文,00后90后,单人闯关,P0,是,
998,G.E.M. 邓紫棋 - 光年之外.2.mp3,G.E.M. 邓紫棋,光年之外,耿耿于怀,蠢女人,大城小爱,流行热,中文,00后90后,单人闯关,P0,是,
999,张敬轩 - 只是太爱你.2.mp3,张敬轩,只是太爱你,借口,放个大招给你看,沈洁洁,流行热,中文,00后90后,单人闯关,P0,是,
1000,海来阿木 - 阿果吉曲.3.mp3,海来阿木,阿果吉曲,荣耀的战场,Punchline,我们都是好孩子,流行热,中文,00后90后,单人闯关,P0,是,
1001,等什么君 - 归寻.2.mp3,等什么君,归寻,狗日的生活,Captain Marvel,你好无锡,流行热,中文,00后90后,单人闯关,P0,是,
1002,范玮琪 - 到不了.2.mp3,范玮琪,到不了,放个大招给你看,What U,非酋,流行热,中文,00后90后,单人闯关,P0,是,
1003,蕾蕾的小麦霸们 _ 张振轩 - 赢在江湖.2.mp3,张振轩,赢在江湖,我的名字叫做安,Hate,陪你走过,流行热,中文,00后90后,单人闯关,P0,是,
1004,张宇 - 给你们.2.mp3,张宇,给你们,遇萤素兮,初见雪,错觉,流行热,中文,00后90后,单人闯关,P0,是,
1005,林宥嘉 - 说谎.2.mp3,林宥嘉,说谎,时间的过客,暗恋过,青春,流行热,粤语,00后90后,单人闯关,P0,是,
1006,魏新雨 - 余情未了.2.mp3,魏新雨,余情未了,爱情掉在哪里,给我的快乐,如何爱,流行热,中文,00后90后,单人闯关,P0,是,
1007,李荣浩 - 不将就.2.mp3,李荣浩,不将就,悟空,招娣,离殇,流行热,中文,00后90后,单人闯关,P0,是,
1008,杨千嬅 - 野孩子.2.mp3,杨千嬅,野孩子,七十里的城墙,非酋,老男孩,流行热,中文,00后90后,单人闯关,P0,是,
1009,薛之谦 - 尘.2.mp3,薛之谦,尘,霞客游,刚刚好,这样的日子,流行热,中文,00后90后,单人闯关,P0,是,
1010,唐汉霄 - 让我留在你身边.2.mp3,唐汉霄,让我留在你身边,叮叮梆梆,Swan Song,凉凉,流行热,中文,00后90后,单人闯关,P0,是,
1011,The Chainsmokers - Push My Luck.2.mp3,The Chainsmokers,Push My Luck,Someday,Dark Horse,Speak Now,流行热,英文,00后90后,单人闯关,P0,是,
1012,林俊杰 - 我还想她.2.mp3,林俊杰,我还想她,差不多姑娘,一个人生活,我的爱像大海,流行热,中文,00后90后,单人闯关,P0,是,
1013,魏新雨 - 红尘来去一场梦.2.mp3,魏新雨,红尘来去一场梦,儿子，我是你爸爸,最后的战役,断点,流行热,中文,00后90后,单人闯关,P0,是,
1014,G.E.M. 邓紫棋 - 来自天堂的魔鬼.2.mp3,G.E.M. 邓紫棋,来自天堂的魔鬼,小宇,喜剧之王,梦回还,流行热,中文,00后90后,单人闯关,P0,是,
1015,小星星Aurora - 坠落星空.2.mp3,小星星Aurora,坠落星空,大笨钟,吴小姐,成人仪式,流行热,中文,00后90后,单人闯关,P0,是,
1016,周杰伦 - 半兽人.2.mp3,周杰伦,半兽人,菊花台,葫芦娃,父亲,流行热,中文,00后90后,单人闯关,P0,是,
1017,crush - beautiful.2.mp3,crush,beautiful,It Takes Two,Firework,I Forgive Yiew,流行热,英文,00后90后,单人闯关,P0,是,
1018,浙音4811 - 拜拜.2.mp3,浙音4811,拜拜,菊花台,不潮不用花钱,所知甚少,流行热,中文,00后90后,单人闯关,P0,是,
1019,周传雄 - 关不上的窗.3.mp3,周传雄,关不上的窗,我走后,最寂寞的寂寞,远走,流行热,中文,00后90后,单人闯关,P0,是,
1020,Olly Murs - That Girl.2.mp3,Olly Murs,That Girl,Tiger Dreams,Closer,Boyfriend,流行热,英文,00后90后,单人闯关,P0,是,
1021,那英 _ 肖战 - 跟着感觉走 (Live).2.mp3,那英,跟着感觉走,弱点,威廉古堡,愚者的信仰,流行热,中文,00后90后,单人闯关,P0,是,
1022,王琪 - 送亲.2.mp3,王琪,送亲,谁要理她,目不转睛,双鱼,流行热,中文,00后90后,单人闯关,P0,是,
1023,许嵩 - 雅俗共赏.2.mp3,许嵩,雅俗共赏,渡我不渡她,她的睫毛,星期天,流行热,中文,00后90后,单人闯关,P0,是,
1024,魏新雨 - 百花香.2.mp3,魏新雨,百花香,依山观澜,等我回家,为什么,流行热,中文,00后90后,单人闯关,P0,是,
1025,周杰伦 - 安静.2.mp3,周杰伦,安静,佛系少女,太阳的忧伤,逆鳞,流行热,中文,00后90后,单人闯关,P0,是,
1026,周杰伦 - 夜曲.2.mp3,周杰伦,夜曲,闪耀的日子,让我偷偷看你,橘色,流行热,中文,00后90后,单人闯关,P0,是,
1027,周深 - 愿得一心人.2.mp3,周深,愿得一心人,洛神赋,9420,我被情伤,流行热,中文,00后90后,单人闯关,P0,是,
1028,周兴哲 - 永不失联的爱.2.mp3,周兴哲,永不失联的爱,Yeah,一百零八,纯洁,流行热,中文,00后90后,单人闯关,P0,是,
1029,常艾非 - 刺心.2.mp3,常艾非,刺心,欧巴我不傻,玫瑰花的葬礼,龙战骑士,流行热,中文,00后90后,单人闯关,P0,是,
1030,韩红 _ 林俊杰 - 飞云之下.2.mp3,韩红,飞云之下,疗伤烧肉粽,我要飞上青天,当真,流行热,中文,00后90后,单人闯关,P0,是,
1031,郑中基 - 无赖.2.mp3,郑中基,无赖,私奔到月球,Send It,一块钱,流行热,粤语,00后90后,单人闯关,P0,是,
1032,P!NK - Try.2.mp3,P!NK,Try,Turn To You,Better Now,All Night,流行热,英文,00后90后,单人闯关,P0,是,
1033,庄心妍 - 再见只是陌生人.2.mp3,庄心妍,再见只是陌生人,梨花泽泽远山远,疯言疯语,无妨,流行热,中文,00后90后,单人闯关,P0,是,
1034,阿杜 - 撕夜.2.mp3,阿杜,撕夜,将军,往南,爱情,流行热,中文,00后90后,单人闯关,P0,是,
1035,林俊杰 - 不为谁而作的歌.2.mp3,林俊杰,不为谁而作的歌,姑苏,市中心,你要的全拿走,流行热,中文,00后90后,单人闯关,P0,是,
1036,周杰伦 - 好久不见.2.mp3,周杰伦,好久不见,小确幸,岁月神偷,可不可以,流行热,中文,00后90后,单人闯关,P0,是,
1037,英雄联盟 - 涅槃.2.mp3,英雄联盟,涅槃,横冲直撞下一站,会痛的石头,米兰的小铁匠,流行热,中文,00后90后,单人闯关,P0,是,
1038,马良 _ 孙茜茹 - 往后余生.2.mp3,马良,往后余生,公主病,家,老铃铛,流行热,中文,00后90后,单人闯关,P0,是,
1039,王力宏 - 需要人陪.2.mp3,王力宏,需要人陪,我的天空,我错过你错过我,有风的夜晚,流行热,中文,00后90后,单人闯关,P0,是,
1040,周杰伦 - 烟花易冷.2.mp3,周杰伦,烟花易冷,听爸爸的话,我是重庆崽儿,隔壁的老王,流行热,中文,00后90后,单人闯关,P0,是,
1041,王贰浪 - 像鱼.2.mp3,王贰浪,像鱼,落霞云归,花,手写的从前,流行热,中文,00后90后,单人闯关,P0,是,
1042,张芸京 - 偏爱.2.mp3,张芸京,偏爱,彩虹,My girl,得过且过,流行热,中文,00后90后,单人闯关,P0,是,
1043,欧阳娜娜 - 树洞.2.mp3,欧阳娜娜,树洞,青春纪念册,莲花,龙拳,流行热,中文,00后90后,单人闯关,P0,是,
1044,周华健 _ 阿云嘎 - 漂洋过海来看你 (Live).2.mp3,周华健,漂洋过海来看你,好久不见,皇后区的皇后,黄土高坡,流行热,中文,00后90后,单人闯关,P0,是,
1045,花澤香菜 - 恋爱循环.2.mp3,花澤香菜,恋爱循环,忘川,老大,不将就,流行热,中文,00后90后,单人闯关,P0,是,
1046,Imagine Dragons _ Broiler - Shots.3.mp3,Imagine Dragons,Shots,E.T.,Stay,Dark Horse,流行热,英文,00后90后,单人闯关,P0,是,
1047,周杰伦 - 等你下课.2.mp3,周杰伦,等你下课,千年等一回,园游会,站着等你三千年,流行热,中文,00后90后,单人闯关,P0,是,
1048,en - 云水谣.2.mp3,en,云水谣,小星星,续雪,枫,流行热,中文,00后90后,单人闯关,P0,是,
1049,R1SE - HAVE FUN.2.mp3,R1SE,HAVE FUN,Boom Boom,Closer,7 Things,流行热,英文,00后90后,单人闯关,P0,是,
1050,薛之谦 - 病态.2.mp3,薛之谦,病态,非酋,再见,难过到这边就好,流行热,中文,00后90后,单人闯关,P0,是,
1051,老光 - 有幸.2.mp3,老光,有幸,不负天涯,演员,猴哥,流行热,中文,00后90后,单人闯关,P0,是,
1052,寂悸 - 入戏又动心.2.mp3,寂悸,入戏又动心,一路向北,狗日的生活,改变常改变,流行热,中文,00后90后,单人闯关,P0,是,
1053,Uu - 那女孩对我说.2.mp3,Uu,那女孩对我说,小哥哥网恋吗,还有多少个十年,飞云之下,流行热,中文,00后90后,单人闯关,P0,是,
1054,街道办GDC _ 欧阳耀莹 - 春娇与志明.2.mp3,街道办GDC,春娇与志明,爱的供养,我走后,非酋,流行热,中文,00后90后,单人闯关,P0,是,
