序号,文件命名,歌手,歌曲名,错误答案1,错误答案2,错误答案3,曲风,语种,年龄层,所属题库,难意程度(0/1),是否高潮,QQ音乐版权（0/1）,类型,问题
1,F.I.R. - 你的微笑.m4a,F.I.R.,你的微笑,月牙湾,我们的爱,千年之恋,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
2,A-Lin - 未单身.m4a,A-Lin,未单身,单身情歌,可惜不是你,有一种悲伤,流行,中文,80后｜90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
3,Adele - Someone Like You.m4a,Adele,Someone Like You,Grenade,Stay,New Americana,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
4,Beyoncé - Single Ladies.m4a,Beyoncé,Single Ladies,Halo,If I were a boy,Listen,流行,英文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
5,Alan Walker - The Spectre.m4a,Alan Walker,The Spectre,Company,All We Know,Long Live,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
6,"Alan Walker,Iselin Solheim - Faded.m4a",Alan Walker,Faded,Aloha Heia He,Family Affair,E.T.,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
7,"Alan Walker,Noah Cyrus,Digital Farm Animals - All Falls Down.m4a",Alan Walker,All Falls Down,Now Or Never,Tiger Dreams,Good Mourning,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
8,"Alex Goot,Chrissy Costanza,Kurt Hugo Schneider - Counting Stars.m4a",Chrissy Costanza,Counting Stars,Strange Love,The Climb,Waterbed,流行,英文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
9,GALA - 追梦赤子心.m4a,GALA,追梦赤子心,Young for you,北戴河之歌,你,流行,中文,80后｜90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
10,Anne-Marie - 2002.m4a,Anne Marie,2002,1 Sun,Hold Tight,Good Intentions,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
11,"Avicii,Martin Garrix,Simon Aldred - Waiting For Love.m4a",Avicii,Waiting For Love,Color,Shivers,Sick Boy,EDM,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
12,Jean Roch - Can You Feel It.m4a,Jean Roch,Can You Feel It,Hand Clap,Boom Boom,How Do I Live,流行,英文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
13,AY楊佬叁 - 骗自己PT.2.m4a,AY楊佬叁,骗自己,Overboard,We Can't Stop,I'm The One,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
14,Rihanna - Love The Way You Lie.m4a,Rihanna,Love The Way You Lie,Diamonds,Umbrella,Take A Bow,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
15,Westlife - My Love (Radio Edit).m4a,Westlife,My Love,I want it that way,My blood,Beautiful in white,流行,英文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
16,Bharatt-Saurabh - Mila Jo Tu.m4a,Bharatt Saurabh,Mila Jo Tu,Wolves,7 Things,FU,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
17,Billie Eilish - bad guy.m4a,Billie Eilish,bad guy,Wolves,Mistletoe,Mean,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
18,Backstreet Boys - As Long as You Love Me.m4a,Backstreet Boys,As Long as You Love Me,Everybody,My love,Seasons in the sun,流行,英文,80后｜90后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
19,Backstreet Boys - I Want It That Way.m4a,Backstreet Boys,I Want It That Way,You raise me up,Uptown Girl,Better man,流行,英文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
20,"Wham!,George Michael - Careless Whisper.m4a",Wham!,Careless Whisper,Going Home,Yesterday,Alone,流行,英文,80后｜90后,正常题库,1,1,0,翻唱,请猜出这首歌的名字
21,Bruno Mars - Treasure.m4a,Bruno Mars,Treasure,Where Are U Now,Ghost,Someday,流行,英文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
22,"Cash Cash,Sofia Reyes - How To Love.m4a",Cash Cash,How To Love,Lost Boy,Sick Boy,Boy With Luv,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
23,叶蒨文 - 潇洒走一回.m4a,叶蒨文,潇洒走一回,有一种悲伤,就是爱你,假装快乐,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
24,Charli XCX - Boys.m4a,Charli XCX,Boys,Grenade,Inside Out,Bad Things,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
25,Charlie Puth - Attention.m4a,Charlie Puth,Attention,Chasing the Sun,I'll Show You,Damage,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
26,"Charlie Puth,Selena Gomez - We Don't Talk Anymore.m4a","Charlie Puth,Selena Gomez",We Don't Talk Anymore,Hit Fluffy,Favorite Girl,Colors,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
27,张学友 - 如果这都不算爱.m4a,张学友,如果这都不算爱,吻别,没什么好悲哀,遥远的她,流行,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
28,张学友 - 遥远的她.m4a,张学友,遥远的她,饿狼传说,情书,一千个伤心的理由,流行,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
29,Christine Welch - 一百万个可能.m4a,Christine Welch,一百万个可能,天空之城,追梦赤子心,我的骄傲,流行,中文,80后｜90后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
30,Corki - 下坠Falling.m4a,Corki,下坠Falling,飞机场的十点半,三人游,四人游,流行,中文,90后｜00后,正常题库,1,1,0,翻唱,请猜出这首歌的名字
31,Craig David - Insomnia.m4a,Craig David,Insomnia,Grenade,Inside Out,Bad Things,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
32,Danny Avila - End Of The Night.m4a,Danny Avila,End Of The Night,Color,Shivers,Sick Boy,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
33,"DAOKO,米津玄師 - 打上花火.m4a",米津玄師,打上花火,Lemon,极乐净土,恋爱循环,流行,日语,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
34,"Dawin,R. City - Bikini Body.m4a",Dawin,Bikini Body,Color,Locked Away,Boy With Luv,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
35,DEAMN - Sign.m4a,DEAMN,Sign,Ghost,Human,Cold Water,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
36,"吴忠明,元若蓝 - 心愿便利贴.m4a",元若蓝,心愿便利贴,小情歌,眼泪成诗,素颜,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
37,"Deep Chills,IVIE - Run Free (feat. IVIE).m4a",Deep Chills,Run Free (feat. IVIE),Ghost,Poker Face,New York City,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
38,"DP龙猪,宝楽CNBALLER,CLOUDWANG 王云 - 全部都是你.m4a",王云,全部都是你,The Seed,Roman Holiday,Dark Horse,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
39,Ed Sheeran - Shape of You.m4a,Ed Sheeran,Shape of You,Roller Coaster,One Of The Boys,Pearl,流行,英文,80后｜90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
40,en - 嚣张.m4a,en,嚣张,绅士,兴风作浪,吻别,流行,中文,90后｜00后,正常题库,1,1,0,翻唱,请猜出这首歌的名字
41,Ersen0306 - 攀登 (抖音版）.m4a,Ersen0306,攀登 (抖音版）,Nevada,Gasoline,Not Ok,流行,中文,90后｜00后,正常题库,1,1,0,翻唱,请猜出这首歌的名字
42,F.I.R. - 月牙湾.m4a,F.I.R.,月牙湾,想你的每个夜晚,凉凉,魔鬼中的天使,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
43,F20 - 果壳中的宇宙.m4a,F20,果壳中的宇宙,你好可爱,大城小爱,私奔到月球,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
44,Fitz and The Tantrums - HandClap.m4a,Fitz and The Tantrums,HandClap,LiI Mama,Stay,One Time,流行,英文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
45,G.E.M.邓紫棋 - 倒数.m4a,G.E.M.邓紫棋,倒数,空白格,牛背上的孩子,天空之外,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
46,G.E.M.邓紫棋 - 光年之外.m4a,G.E.M.邓紫棋,光年之外,那些年,欢迎光临,以后的以后,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
47,G.E.M.邓紫棋 - 我的秘密.m4a,G.E.M.邓紫棋,我的秘密,晚安,云水谣,星星,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
48,G.E.M.邓紫棋 - 来自天堂的魔鬼.m4a,G.E.M.邓紫棋,来自天堂的魔鬼,我爱他,原谅我一次,认真的雪,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
49,G.E.M.邓紫棋 - 画 (Live Piano Session II).m4a,G.E.M.邓紫棋,画,初学者,环游世界,就是爱你,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
50,G.G(张思源) - 小可爱与小领带.m4a,G.G(张思源),小可爱与小领带,Bad Girl,晚婚,烽火成书,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
51,G.G(张思源) - 给陌生的你听.m4a,G.G(张思源),给陌生的你听,戏影,阴天,假装快乐,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
52,S.H.E - 一眼万年.m4a,S.H.E,一眼万年,感官先生,快乐的节日,陪我做梦,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
53,上海彩虹室内合唱团 - 感觉身体被掏空.m4a,上海彩虹室内合唱团,感觉身体被掏空,一个人生活,无条件爱你,我怎么这么好看,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
54,"Gibb-Z,ICE - 陪着你走.m4a",ICE,陪着你走,喜剧之王,绅士,这里那里,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
55,"HAS,HAS SAM努尔夏提,HAS Red K - Gucci&乌鲁木齐.m4a",HAS,Gucci&乌鲁木齐,Hand Clap,Bye Bye,Don't Push Me,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
56,"Higher Brothers,Phum Viphurit - Lover Boy 88.m4a",Higher Brothers,Lover Boy 88,一个人生活,美美哒,一曲相思,hiphop,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
57,Ice Paper - 心如止水.m4a,Ice Paper,心如止水,阴天,小情歌,醉赤壁,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
58,J. Sheon - 慢慢.m4a,J. Sheon,慢慢,艾瑞巴迪,不谓侠,妄想的月光,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
59,Jain - Lil Mama.m4a,Jain,Lil Mama,A Billion Girls,Sparks Fly,Boom Boom,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
60,张信哲 - 爱如潮水.m4a,张信哲,爱如潮水,信仰,过火,爱就一个字,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
61,Joel Adams - Please Don't Go.m4a,Joel Adams,Please Don't Go,LiI Mama,Angel On Fire,All Night,流行,英文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
62,Jony J - 信仰.m4a,Jony J,信仰,一个人生活,感官先生,情深深雨濛濛,hiphop,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
63,"Justin Bieber,Ludacris - Baby.m4a",Justin Bieber,Baby,Tuesday,All Night,Babe,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
64,"Justin Timberlake,Carey Mulligan,Stark Sands - Five Hundred Miles.m4a",Justin Timberlake,Five Hundred Miles,The Prologue,1 Sun,La La La,流行,英文,80后｜90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
65,Katie Sky - Monsters.m4a,Katie Sky,Monsters,Hold Me Down,Hide Away,New York City,流行,英文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
66,Kc - 不谈.m4a,Kc,不谈,Tuesday,Ur So Gay,Roses,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
67,"Keith Ape,Okasian,KOHH -  (It G Ma).m4a","Keith Ape,Okasian,KOHH",It G Ma,Talk,How Do I Live,Now Or Never,hiphop,韩语,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
68,Kesha - TiK ToK.m4a,Kesha,TiK ToK,End Starter,Haunting,Royals,EDM,英文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
69,Kevin Gates - 2 Phones.m4a,Kevin Gates,2 Phones,Feet,I'll Show You,Wake Up America,hiphop,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
70,张震岳 - 爱之初体验.m4a,张震岳,爱之初体验,小宇,思念是一种病,差不多先生,流行,中文,80后｜90后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
71,"Kurt Hugo Schneider,Sam Tsui,Casey Breves - All Time Low.m4a",Sam Tsui,All Time Low,Aloha Heia He,Cattitude,Wildest Dreams,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
72,Lenka - Trouble Is A Friend.m4a,Lenka,Trouble Is A Friend,Closer,Setting Fires,Dark Horse,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
73,Lil Ghost小鬼 - GOOD NIGHT.m4a,Lil Ghost小鬼,GOOD NIGHT,无条件爱你,快乐的节日,幻听,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
74,Lil.Jet - 说句实话.m4a,Lil.Jet,说句实话,余情未了,尘埃,包袱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
75,Imagine Dragons - Demons.m4a,Imagine Dragons,Demons,Shots,Believer,Natural,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
76,"Little Mix,Charlie Puth - Oops.m4a",Charlie Puth,Oops,Lie,Royals,The Prologue,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
77,李克勤 - 红日.m4a,李克勤,红日,月半小夜曲,一生何求,遥远的她,流行,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
78,"Martin Garrix,Troye Sivan - There For You.m4a",Troye Sivan,There For You,Harmony Hall,Purpose,Roses,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
79,Martin Jensen - Solo Dance.m4a,Martin Jensen,Solo Dance,Let Me Love You,Boyfriend,Don't Say,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
80,Martin Tungevaag - Wicked Wonderland (Radio Edit).m4a,Martin Tungevaag,Wicked Wonderland,Baby,One Time,Poker Face,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
81,Matteo - Panama.m4a,Matteo,Panama,Birthday,FU,The Climb,流行,英文,80后｜90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
82,Meghan Trainor - Me Too.m4a,Meghan Trainor,Me Too,Bloom,Red,Human,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
83,"Mike Perry,SHY Martin - The Ocean (Radio Edit).m4a","Mike Perry,SHY Martin",The Ocean,Lie,Royals,The Prologue,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
84,Miley Cyrus - We Can't Stop.m4a,Miley Cyrus,We Can't Stop,COOL,Good Day,C'mon C'mon,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
85,MiyAn - 给我们-翻唱.m4a,MiyAn,给我们,我的名字,答应不爱你,眼泪成诗,流行,中文,90后｜00后,正常题库,1,1,0,翻唱,请猜出这首歌的名字
86,MKJ - Time (Official).m4a,MKJ,Time ,Let Me Love You,Boyfriend,Don't Say,流行,英文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
87,李谷一 - 难忘今宵.m4a,李谷一,难忘今宵,团团圆圆,春节序曲,我和我的祖国,流行,民谣,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
88,moumoon - Sunshine Girl.m4a,moumoon,Sunshine Girl,Birthday,FU,The Climb,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
89,Nick Lopez - Pink Champagne.m4a,Nick Lopez,Pink Champagne,Bloom,Red,Human,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
90,NINEONE - I don't wanna see you anymore.m4a,NINEONE,I don't wanna see u anymore,Castle,Lost In Japan,Bad At Love,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
91,O-Zone - Dragostea Din Tei (Original Romanian Version).m4a,O-Zone,Dragostea Din Tei,蚂蚁牙黑,Trouble,Mayiyaha,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
92,Olly Murs - That Girl.m4a,Olly Murs,That Girl,Shape Of You,Closer,Lost At Sea,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
93,OneRepublic - Counting Stars.m4a,OneRepublic,Counting Stars,Sink,Blurred Lines,Say Say Say,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
94,"Owl City,Carly Rae Jepsen - Good Time.m4a",Owl City,Good Time,Senorita,Alone,Slide Away,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
95,"Panta.Q,Julia Wu - 依然.m4a",Panta.Q,依然,耿,我的秘密,大鱼,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
96,Pawl - Your Love Shot Me Down (Radio Edit).m4a,Pawl,Your Love Shot Me Down,Eastside,Shake It Off,Castle,EDM,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
97,林忆莲 - 至少还有你.m4a,林忆莲,至少还有你,当爱已成往事,伤痕,不必在乎我是谁,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
98,Pixie Paris - Es rappelt im Karton.m4a,Pixie Paris,Es rappelt im Karton,Habits,Love Story,2U,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
99,王强 - 秋天不回来.m4a,王强,秋天不回来,老鼠爱大米,老人与海,我最亲爱的,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
100,"PRPEL,Marcus & Martinus - Heartbeat (Nightcore) [PRPEL Remix].m4a",PRPEL,Heartbeat (Nightcore) [PRPEL Remix],Bad,Cold Water,Pray,流行,英文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
101,Russ - Psycho (Pt. 2).m4a,Russ,Psycho,Harmony Hall,The Middle,Walking On Air,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
102,"SAM F,Sophie Rose - Limitless (feat. Sophie Rose).m4a",SAM F,Limitless (feat. Sophie Rose),Devil In Me,Space Boots,Overboard,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
103,王杰 - 谁明浪子心.m4a,王杰,谁明浪子心,不浪漫罪名,伤心1999,我是真的爱上你,流行,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
104,"SHAUN,Conor Maynard,Sam Feldt - Way Back Home (Sam Feldt Edit).m4a",SHAUN,Way Back Home,I Forgive Yiew,Somebody,Boys Boys Boys,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
105,"Shawn Mendes,Camila Cabello - Senorita.m4a",Camila Cabello,Senorita,Haunting,Young,Done With Love,流行,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
106,"Shining,SNOW - rain（prod.bycon，feat snow）.m4a",SNOW,rain,Graveyard,Waterbed,Down,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
107,"Sia,Alan Walker - Move Your Body (Alan Walker Remix).m4a",Sia,Move Your Body (Alan Walker Remix),Treasure,Tim McGraw,Slide Away,流行,英文,90后｜00后,正常题库,1,1,0,翻唱,请猜出这首歌的名字
108,张惠妹 - 卡门.m4a,张惠妹,卡门,血腥爱情故事,听海,趁早,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
