序号,文件命名,歌手,歌曲名,错误答案1,错误答案2,错误答案3,曲风,语种,年龄层,所属题库,难意程度(0/1),是否高潮,QQ音乐版权（0/1）,类型,问题
252,"潘玮柏,G.E.M.邓紫棋,艾热 AIR - 攀登 (Live).m4a",G.E.M.邓紫棋,攀登,大鱼,当真,有一种悲伤,流行｜hiphop,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
253,"潘玮柏,SeanT肖恩恩,黄旭 - 爱你3000 (Live).m4a",SeanT肖恩恩,爱你3000,杨花落尽子规啼,分手快乐,沙漠骆驼,流行｜hiphop,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
254,"潘玮柏,张韶涵 - 快乐崇拜.m4a",张韶涵,快乐崇拜,孽海记,即兴,键盘Solo,流行｜hiphop,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
255,"潘玮柏,弦子 - 不得不爱.m4a",潘玮柏,不得不爱,隔壁泰山,表白,可不可以,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
256,火箭少女101 - 卡路里.m4a,火箭少女101,卡路里,来来往往,一个人去巴黎,一万次悲伤,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
257,焦迈奇 - 我的名字.m4a,焦迈奇,我的名字,段点,好像掉进爱情海里,好嗨哟,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
258,燕池 - 九重山.m4a,燕池,九重山,突然好想你,离人愁,背对背拥抱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
259,牛奶咖啡 - 咖喱咖喱.m4a,牛奶咖啡,咖喱咖喱,手放开,段点,情人迷,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
260,王俊琪 - 我多喜欢你，你会知道.m4a,王俊琪,我多喜欢你会知道,肆无忌惮,走马,该不该,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
261,王力宏 - 你不知道的事.m4a,王力宏,你不知道的事,没有你的陕西省,第二杯半价,9420,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
262,王力宏 - 唯一.m4a,王力宏,唯一,BOOM,醉仙美,其实,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
263,王力宏 - 大城小爱(Live).m4a,王力宏,大城小爱,听说,少一点天分,一个人想着一个人,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
264,王力宏 - 美.m4a,王力宏,美,过得好吗,Hero,你一定要幸福,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
265,王力宏 - 龙的传人.m4a,王力宏,龙的传人,佛系少女,篝火旁,你不是真正的快乐,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
266,王嘉尔 - Papillon.m4a,王嘉尔,Papillon,If,忽然之间,不得不爱,流行｜hiphop,英文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
267,王大文 - 慢半拍.m4a,王大文,慢半拍,寂寞先生,最美情侣,Hero,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
268,王大毛 - 去年夏天.m4a,王大毛,去年夏天,你不是真正的快乐,Me Too,环游星空,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
269,"王天放FrankiD,丁爽 - Fight For It(Prod by.大眼炮).m4a",丁爽,Fight For It,再见 你好,花开的声音,盔甲,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
270,王小帅 - 最近 (正式版).m4a,王小帅,最近,9420,猜不透,遥远的你,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
271,自然卷 - 坐在巷口的那对男女.m4a,自然卷,坐在巷口的那对男女,Boom Boom,La La La,你好再见,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
272,"王恩信Est,二胖u - 飞.m4a",王恩信Est,飞,Girls Like You,至少还有我,当真,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
273,大柯 _ 夜尢 - 失眠飞行.m4a,夜尢,失眠飞行,往后余生,其实,带你去旅行,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
274,王泽科 - 晚安（片段）（Cover：颜人中）.m4a,王泽科,晚安,我们不一样,再见 你好,New Soul,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
275,王矜霖 - 她妈妈不喜欢我.m4a,王矜霖,她妈妈不喜欢我,好像掉进爱情海里,空白格,把孤独当做晚餐,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
276,王菲 - 匆匆那年.m4a,王菲,匆匆那年,小了白了兔,温柔,醉仙美,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
277,王贰浪 - 少一点天分（Cover 孙盛希）.m4a,王贰浪,少一点天分,长腿叔叔,Disco Inferno,爱你是你还是你,流行,中文,80后｜90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
278,田一龙 - 一定要爱你(网络版).m4a,田一龙,一定要爱你,F.I.R.-月牙湾,最后一次分离,文爱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
279,田馥甄 - 小幸运.m4a,田馥甄,小幸运,分手快乐,爸爸妈妈,说谎,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
280,田馥甄 - 魔鬼中的天使.m4a,田馥甄,魔鬼中的天使,你打不过我吧,三角题,遇见,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
281,白小白 - 最美情侣.m4a,白小白,最美情侣,做我的猫,出山,等一分钟,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
282,程佳佳 - 山楂树之恋.m4a,程佳佳,山楂树之恋,Colors,不在,好久不见,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
283,周杰伦 - 晴天.m4a,周杰伦,晴天,告白气球,搁浅,夜曲,流行,中文,80后｜91后,正常题库,0,1,0,常规,请猜出这首歌的名字
284,苏运莹 - 野子.m4a,苏运莹,野子,海,画,谁伴我闯荡,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
285,等什么君 - 关山酒.m4a,等什么君,关山酒,一个人去巴黎,沙漠骆驼,关于你,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
286,等什么君 - 谁念西风独自凉.m4a,等什么君,谁念西风独自凉,老街,断点,当妮走了,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
287,等什么君 - 辞九门回忆.m4a,等什么君,辞九门回忆,走马,莫妮卡,长腿叔叔,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
288,米津玄師 - Lemon（局部）.m4a,米津玄師,Lemon,卡布奇诺,突然好想你,浪够了再回来,流行,日语,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
289,红双囍 - 小姐姐.m4a,红双囍,小姐姐,时间的过客,想你,念旧,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
290,翁大涵 - 莫愁.m4a,翁大涵,莫愁,莫妮卡,修炼爱情,温柔,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
291,老二道（半吨兄弟） - 爱情错觉（Cover：王娅）.m4a,老二道,爱情错觉,浪够了再回来,太多,备爱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
292,胜屿 - 着迷.m4a,胜屿,着迷,有何不可,此生不换,至少还有我,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
293,胡彦斌 - 你要的全拿走.m4a,胡彦斌,你要的全拿走,另一个童话,越来越不懂,感谢你曾来过,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
294,胡彦斌 - 高手.m4a,胡彦斌,高手,淘汰,学不会,我的名字,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
295,"艾热 AIR,李佳隆 - 星球坠落 (Live).m4a",艾热,星球坠落,三角题,口是心非,烟雨行舟,流行｜hiphop,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
296,花粥 - 归去来兮.m4a,花粥,归去来兮,青柠,可惜没如果,静悄悄,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
297,花粥 - 纸短情长.m4a,花粥,纸短情长,请你先说好,只对你有感觉,寸步不离,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
298,"花粥,王胜娚 - 出山.m4a",花粥,出山,烟雨行舟,寂寞先生,疑心病,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
299,"花粥,马雨阳 - 盗将行.m4a",花粥,盗将行,遥远的你,红豆,我们不一样,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
300,苏白睡醒啦 - 樱花草 (cover：sweety).m4a,苏白睡醒啦,樱花草,静悄悄,烦恼歌,当你,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
301,"苏谭谭,佳鹏 - 渡我不渡她.m4a",苏谭谭,渡我不渡她,爱呀,好久不见,断点,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
302,"苏鑫,G.Sook - 夏天的雨.m4a",苏鑫,夏天的雨,红豆,放开手别挽留,给你们,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
303,茄子蛋 - 浪子回头.m4a,茄子蛋,浪子回头,爱你三千遍,水从天上来,东西,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
304,莫文蔚 - 慢慢喜欢你.m4a,莫文蔚,慢慢喜欢你,不谓侠,一个人记得,乘着歌声的翅膀,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
305,莫艳琳 - 爱一点.m4a,莫艳琳,爱一点,美美哒,海鸥,校园里的小白杨,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
306,萧亚轩 - 突然想起你.m4a,萧亚轩,突然想起你,赤伶,父亲写的散文诗,心安理得,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
307,葛仲珊 - 皇后区的皇后.m4a,葛仲珊,皇后区的皇后,千盏,可惜没如果,红星歌,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
308,蔡健雅 - 空白格.m4a,蔡健雅,空白格,初恋粉色系,归寻,如果·爱,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
309,蔡健雅 - 红色高跟鞋.m4a,蔡健雅,红色高跟鞋,丑八怪,别知己,刚刚好,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
310,薛之谦 - 我好像在哪见过你.m4a,薛之谦,我好像在哪见过你,你的前男友,这里那里,凉凉,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
311,薛凯琪 - 周末画报.m4a,薛凯琪,周末画报,当,云烟成雨,月球下的人,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
312,蘇山海 - 无名之辈（cover：陈雪燃）.m4a,蘇山海,无名之辈,终于等到你,一个人生活,醉赤壁,流行,中文,80后｜90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
313,袁娅维 - 说散就散.m4a,袁娅维,说散就散,脏歌,晚安,不再联系,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
314,要不要买菜 - 下山.m4a,要不要买菜,下山,天黑黑,忽冷忽热,倒霉鬼,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
315,解忧邵帅 - 写给黄淮.m4a,解忧邵帅,写给黄淮,七秒钟的记忆,囚鸟,花仙子之歌,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
316,许哲佩 - 气球.m4a,许哲佩,气球,最后一次的温柔,超级英雄狂想曲,味道,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
317,许嵩 - 天龙八部之宿敌.m4a,许嵩,天龙八部之宿敌,再见不负遇见,南山南,表白,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
318,许嵩 - 有何不可.m4a,许嵩,有何不可,长痛不如短痛,九百九十九朵玫瑰,丑八怪,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
319,许飞 - 父亲写的散文诗.m4a,许飞,父亲写的散文诗,让你走,好想好想,舒伯特玫瑰,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
320,谢震廷 - 你的行李.m4a,谢震廷,你的行李,大城小爱,晚风,阴天,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
321,萧亚轩 - 爱的主打歌.m4a,萧亚轩,爱的主打歌,突然想起你,最熟悉的陌生人,潇洒小姐,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
322,赵紫骅 - 可乐.m4a,赵紫骅,可乐,我的洗发液,中国话,原来的我,流行,中文,80后｜90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
323,赵雷 - 成都.m4a,赵雷,成都,爱你等于爱自己,一眼万年,挂神到！,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
324,赵雷 - 我们的时光.m4a,赵雷,我们的时光,大力出奇迹,俾面派对,眼泪成诗,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
325,赵雷 - 阿刁.m4a,赵雷,阿刁,别来无恙,一个人生活,读书郎,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
326,周杰伦 - 园游会.m4a,周杰伦,园游会,彩虹,半岛铁盒,轨迹,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
327,逃跑计划 - 夜空中最亮的星.m4a,逃跑计划,夜空中最亮的星,胡广生,潇洒走一回,及时行乐,流行｜摇滚,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
328,"那吾克热-NW,尤长靖 - 飘向北方 (Live).m4a",尤长靖,飘向北方,冬天的预感,怎样,走火入魔,流行｜hiphop,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
329,邱振哲 - 太阳.m4a,邱振哲,太阳,身骑白马,分不开,我要吃肉肉,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
330,邱琢然 - 只要我们在一起.m4a,邱琢然,只要我们在一起,万樽言,弱点,你还要我怎样,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
331,郁可唯 - 路过人间.m4a,郁可唯,路过人间,漂洋过海来看你,街头霸王,白衣少年,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
332,郭顶 - 水星记.m4a,郭顶,水星记,三生三世,最后一次的温柔,小情歌,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
333,"金南玲,李俊佑 - 超级喜欢你.m4a",金南玲,超级喜欢你,喜欢你,花的嫁纱,她的眼睛会唱歌,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
334,金志文 - 远走高飞.m4a,金志文,远走高飞,你是我的风景,野狼disco,那些你很冒险的梦,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
335,金玟岐 - 岁月神偷.m4a,金玟岐,岁月神偷,小牧笛,迟到,生死一舞的爱语,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
336,阿冗 - 你的答案.m4a,阿冗,你的答案,缘分,相遇那么美,南方姑娘,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
337,周杰伦 - 七里香.m4a,周杰伦,七里香,稻香,一路向北,不能说的秘密,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
338,Vicetone - Starboy (Vicetone Remix).m4a,Vicetone,Starboy (Vicetone Remix),Photograph,Six Feet Under,Everything I wanted,流行,英文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
339,阿木 - 追梦人.m4a,阿木,追梦人,不要你为难,北风,白夜,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
340,李荣浩 - 戒烟.m4a,李荣浩,戒烟,模特,丑八怪,年少有为,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
341,"阿肆,郭采洁 - 世界上的另一个我.m4a",郭采洁,世界上的另一个我,南屏晚钟,过客,小半,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
342,阿虾 - 爱江山更爱美人.m4a,阿虾,爱江山更爱美人,我不能忍,我的名字,诺言,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
343,陈冠蒲 - 太多.m4a,陈冠蒲,太多,大碗宽面,哭过就好了,慢慢,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
344,陈奕迅 - K歌之王 (Live).m4a,陈奕迅,K歌之王,你的前男友,哪吒,可惜没如果,流行,粤语,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
345,陈奕迅 - 好久不见.m4a,陈奕迅,好久不见,赤伶,你给我听好,红星歌,流行,粤语,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
346,陈奕迅 - 孤独患者.m4a,陈奕迅,孤独患者,和你很像的人,路人,姑娘,流行,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
347,陈奕迅 - 富士山下.m4a,陈奕迅,富士山下,侧脸,只要平凡,Bye Bye,流行,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
348,陈奕迅 - 浮夸.m4a,陈奕迅,浮夸,岁月神偷,流着泪说分手,如约,流行,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
349,陈奕迅 - 淘汰.m4a,陈奕迅,淘汰,肆无忌惮,不分手的恋爱,Lutra,流行,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
350,Queen - Bohemian Rhapsody.m4a,Queen,波西米亚狂想曲,Mama,We will rock you,Love of my life,摇滚,英文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
351,Queen - Radio Ga Ga.m4a,Queen,Radio Ga Ga,We Are the Champions,Save me,We will rock you,摇滚,英文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
352,Queen - We Are the Champions.m4a,Queen,We Are the Champions,Radio Ga Ga,Love of my life,The show must go on,摇滚,英文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
353,Beyond - 冷雨夜.m4a,Beyond,冷雨夜,海阔天空,真的爱你,情人,摇滚,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
354,Beyond - 情人.m4a,Beyond,情人,光辉岁月,不再犹豫,灰色轨迹,摇滚,粤语,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
355,陈奕迅 - 陪你度过漫长岁月.m4a,陈奕迅,陪你度过漫长岁月,快递甜心,我要和你在一起,归寻,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
356,"陈奕迅,王菲 - 因为爱情.m4a",王菲,因为爱情,你就不要想起我,断点,庄周,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
357,"陈威全,DP龙猪,刘至佳 - 我爱他.m4a",陈威全,我爱他,有一点动心,三人游,一个人的北京,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
358,陈柏宇 - 你瞒我瞒.m4a,陈柏宇,你瞒我瞒,如果这就是爱情,环游世界,校园多美好,流行,粤语,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
359,陈柯宇 - 生僻字.m4a,陈柯宇,生僻字,死机之歌,快递甜心,此生不换,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
360,陈粒 - 光.m4a,陈粒,光,还没全蛋就铁柱,可乐,和平与爱,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
361,陈粒 - 小半.m4a,陈粒,小半,安静,晚婚,生僻字,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
362,陈粒 - 桥豆麻袋.m4a,陈粒,桥豆麻袋,越长大越孤单,安阳安阳,伪装,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
363,陈粒 - 走马.m4a,陈粒,走马,霸王别姬,心雨,你好可爱,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
364,陈雪凝 - 你的酒馆对我打了烊.m4a,陈雪凝,你的酒馆对我打了烊,霍元甲,只要平凡,大小姐的逃亡生涯,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
365,陈雪凝 - 假装.m4a,陈雪凝,假装,爱啦啦,123我爱你,小尾巴,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
366,陈鸿宇 - 理想三旬.m4a,陈鸿宇,理想三旬,深海处男,环游世界,天亮以前说再见,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
367,陶喆 - 寂寞的季节.m4a,陶喆,寂寞的季节,像风一样自由,DOREMI,直觉,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
368,陶喆 - 流沙.m4a,陶喆,流沙,地厚天高,天亮以前说再见,给我一个吻,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
369,陶喆 - 爱，很简单.m4a,陶喆,爱，很简单,雪人,夜光,新鸳鸯蝴蝶梦,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
370,"陶喆,卢广仲 - 那个女孩.m4a",陶喆,那个女孩,勉为其难,是缘,归寻,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
371,隔壁老樊 - 世本常态.m4a,隔壁老樊,世本常态,浪人琵琶,青春修炼手册,女孩,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
372,隔壁老樊 - 四块五.m4a,隔壁老樊,四块五,洛天依投食歌,讲真的,爱的双重魔力,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
373,隔壁老樊 - 幻听（Cover：许嵩）.m4a,隔壁老樊,幻听,女人花,失眠,夜半,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
374,隔壁老樊 - 我曾.m4a,隔壁老樊,我曾,空城,心安理得,不仅仅是喜欢,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
375,隔壁老樊 - 我的姑娘 她在远方.m4a,隔壁老樊,我的姑娘 她在远方,浪人琵琶,学不会,天空之外,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
376,青蛙 - 小跳蛙.m4a,青蛙,小跳蛙,两难,干杯,夜夜夜夜,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
377,"韩红,陈奕迅 - 十年(Live).m4a",韩红,十年,和平分手,超级英雄狂想曲,溯,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
378,音阙诗听 - 红昭愿.m4a,音阙诗听,红昭愿,和平分手,走心小卖家,偏爱,流行,中文,90后｜00后,正常题库,1,1,0,常规,请猜出这首歌的名字
379,"音阙诗听,赵方婧 - 芒种.m4a",赵方婧,芒种,霜雪千年,小酒窝,当真,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
380,颜人中 - 孤单心事.m4a,颜人中,孤单心事,一场游戏一场梦,追光者,想太多,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
381,颜人中 - 我只能离开.m4a,颜人中,我只能离开,招娣,夏日终曲,爱转角,流行,中文,90后｜00后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
382,颜人中 - 有可能的夜晚.m4a,颜人中,有可能的夜晚,守护永恒的爱,修炼爱情,答应不爱你,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
383,马忠宇 - 只为红颜.m4a,马忠宇,只为红颜,让我们荡起双桨,如果这就是爱情,夏天,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
384,马良 - 往后余生.m4a,马良,往后余生,东西,明明就,姬和不如,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
385,鱼大仙儿 - 我曾（Cover：隔壁老樊）.m4a,鱼大仙儿,我曾,说散就散,牛背上的孩子,你瞒我瞒,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
386,鹏泊 - 啷个哩个啷.m4a,鹏泊,啷个哩个啷,不潮不用花钱,成全,被风吹过的夏天,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
387,鹿先森乐队 - 春风十里.m4a,鹿先森乐队,春风十里,爱我波澜,刚好遇见你,Someday,流行｜民谣,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
388,黄义达 - 那女孩对我说.m4a,黄义达,那女孩对我说,再强调一遍,把悲伤留给自己,圈住你,流行,中文,80后｜90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
389,黄鲲 - 住在你的心脏.m4a,黄鲲,住在你的心脏,权御天下,丑八怪,你,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
390,费玉清 - 一剪梅.m4a,费玉清,一剪梅,千里之外,南屏晚钟,相思比梦长,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
391,费翔 - 冬天里的一把火.m4a,费翔,冬天里的一把火,如果这都不算爱,当,只对你有感觉,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
392,迪克牛仔 - 有多少爱可以重来.m4a,迪克牛仔,有多少爱可以重来,都是假象,最美的期待,最燃的冒险,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
393,那英 - 一笑而过.m4a,那英,一笑而过,差不多姑娘,凉凉,下一秒,流行,中文,80后｜90后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
394,郭富城 - Para Para Sakura.m4a,郭富城,Para Para Sakura,哪吒,葫芦娃,小情歌,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
395,陈小云 - 爱情骗子我问你.m4a,陈小云,爱情骗子我问你,失眠,侧脸,课间进行曲,流行,中文,80后｜90后,正常题库,1,1,0,常规,请猜出这首歌的名字
396,陈慧娴 - 千千阙歌.m4a,陈慧娴,千千阙歌,喊出我的名字,去终南,今天你要嫁给我,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
397,陈慧琳 - 不如跳舞.m4a,陈慧琳,不如跳舞,少年如故,无条件爱你,晚婚,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
398,香香 - 老鼠爱大米.m4a,香香,老鼠爱大米,无愧,Nevada,叹云兮,流行,中文,80后｜90后,正常题库,0,1,0,常规,请猜出这首歌的名字
399,齐秦 - 大约在冬季.m4a,齐秦,大约在冬季,荣耀的战场,恋爱啦,夏天,流行,中文,80后｜90后,正常题库,0,1,0,翻唱,请猜出这首歌的名字
400,薛之谦 - 病态.m4a,薛之谦,病态,绅士,演员,我不明白,流行,中文,90后｜00后,正常题库,0,1,0,常规,请猜出这首歌的名字
